"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","1000uf","~","Capacitor_THT:CP_Radial_D13.0mm_P5.00mm","1",""
"C2,C4,C7","100n","~","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm","3",""
"C3","100uF","~","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","1",""
"C5,C6","10uF","~","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","2",""
"D1,D2","1N4148","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","2",""
"D3,D6","LED","~","LIBRERIAS:LED_PCBasDiffuser","2",""
"D4,D5","1N4007","http://www.vishay.com/docs/88503/1n4001.pdf","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","2",""
"J1,J2","Barrel_Jack","~","Connector_BarrelJack:BarrelJack_Horizontal","2",""
"J3","TERMINAL_BLOCK","~","TerminalBlock:TerminalBlock_bornier-3_P5.08mm","1",""
"J4,J5,J6,J8","JUMPER","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","4",""
"J7","JACK_TS","~","Connector_Audio:Jack_3.5mm_CUI_SJ1-3525N_Horizontal","1",""
"K1","LEG-12F","http://www.sanyourelay.ca/public/products/pdf/SRD.pdf","Relay_THT:Relay_SPDT_SANYOU_SRD_Series_Form_C","1",""
"Q1","IRFZ44n","~","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown","1",""
"R1,R2,R3,R5","1k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","4",""
"R4,RV1,RV2","100k","~","-- valores mixtos --","3",""
"U1","NE555P","http://www.ti.com/lit/ds/symlink/ne555.pdf","Package_DIP:DIP-8_W7.62mm","1",""
"U2","L7805","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf","Package_TO_SOT_SMD:TO-252-2","1",""
